method,path,ignore
DELETE,/domoweb/contentdatasource,
DELETE,/domoweb/datasources,
DELETE,/domoweb/kpis/{id}/drillPath/{id}/drillView/{id},
DELETE,/domoweb/kpivisualization/deletepreviewvisualization,
DELETE,/domoweb/page/{id}/pagecontrols/{id},
GET,/domoweb/access/getallkpisforuserbypage,
GET,/domoweb/access/kpilist,
GET,/domoweb/admin,
GET,/domoweb/admin/companysettings/pwd,
GET,/domoweb/admin/people,
GET,/domoweb/analytics/{id},
GET,/domoweb/application/{id},
GET,/domoweb/auth/index,Y
GET,/domoweb/auth/signout,Y
GET,/domoweb/avatar/full,
GET,/domoweb/avatar/full/domo/{id},
GET,/domoweb/avatar/group,
GET,/domoweb/avatar/micro/domo/{id},
GET,/domoweb/avatar/thumb,
GET,/domoweb/avatar/thumb/domo/{id},
GET,/domoweb/badges/documentkpis/{id}/medium,
GET,/domoweb/cache/expireSchema,
GET,/domoweb/chartoption/badge_funnel,
GET,/domoweb/chartoption/badge_horiz_100pct,
GET,/domoweb/chartoption/badge_horiz_bar,
GET,/domoweb/chartoption/badge_horiz_stackedbar,
GET,/domoweb/chartoption/badge_line_bar,
GET,/domoweb/chartoption/badge_line_stackedbar,
GET,/domoweb/chartoption/badge_pie,
GET,/domoweb/chartoption/badge_stackedtrend,
GET,/domoweb/chartoption/badge_table,
GET,/domoweb/chartoption/badge_trendline,
GET,/domoweb/chartoption/badge_vert_100pct,
GET,/domoweb/chartoption/badge_vert_bar,
GET,/domoweb/chartoption/badge_vert_multibar,
GET,/domoweb/chartoption/badge_vert_nestedbar,
GET,/domoweb/chartoption/badge_vert_stackedbar,
GET,/domoweb/chartoption/badge_world_map,
GET,/domoweb/chartoption/badge_xyscatterplot,
GET,/domoweb/comments/event,
GET,/domoweb/comments/kpicommentcount,
GET,/domoweb/companysettingext/getlogo,
GET,/domoweb/companysettings,
GET,/domoweb/companysettings/getlogo,
GET,/domoweb/dashboard/getpagecollaborators,
GET,/domoweb/Dashboard/loadKpiDataSources,
GET,/domoweb/dashboard/loadkpidatasubscriptionlist,
GET,/domoweb/Dashboard/loadKpiDataSubscriptionList,
GET,/domoweb/Dashboard/loadKpis,
GET,/domoweb/Dashboard/loadPagesWithList,
GET,/domoweb/dashboard/loaduserpages,
GET,/domoweb/dataaccess/getdatasources,
GET,/domoweb/dataaccess/getdatasourcetypes,
GET,/domoweb/dataaccess/loaddatasource,
GET,/domoweb/dataaccess/loaddatasourcesummary,
GET,/domoweb/dataaccess/loadvaluesforcolumn,
GET,/domoweb/dataaccess/pushdatasourcechangestoice,
GET,/domoweb/dataconnection/existingsource,
GET,/domoweb/dataconnection/googledocs/spreadsheets,
GET,/domoweb/documents/{id},
GET,/domoweb/documents/{id}/data,
GET,/domoweb/documents/getdocumentbodybase64/{id},
GET,/domoweb/drill/getcalculations,
GET,/domoweb/drill/getDrillPathData,
GET,/domoweb/drill/getdrillviewdatasummary,
GET,/domoweb/drill/getpreviousfilters,
GET,/domoweb/excelPlugin/datasources/{id}/data/schema,
GET,/domoweb/excelPlugin/datasources/{id}/data/size,
GET,/domoweb/googledocs/linkedtogoogle,
GET,/domoweb/groups/addusers,
GET,/domoweb/groups/at/{id},
GET,/domoweb/groups/changename,
GET,/domoweb/groups/getdetails,
GET,/domoweb/groups/getgroupsforuser,
GET,/domoweb/groups/getUsers,
GET,/domoweb/groups/index,
GET,/domoweb/help/{id},
GET,/domoweb/ice/dataSourceMetadata,
GET,/domoweb/images/chosen/{id},
GET,/domoweb/images/icons/{id},
GET,/domoweb/images/kpi/{id},
GET,/domoweb/images/spinner/{id},
GET,/domoweb/kpialerts/getalertsbykpiid,
GET,/domoweb/kpis/{id}/alerts/load,
GET,/domoweb/kpis/{id}/alerts/series,
GET,/domoweb/kpis/{id}/drillPath/{id}/drillView/{id},
GET,/domoweb/kpis/{id}/drillPath/{id}/drillViewData,
GET,/domoweb/kpis/{id}/history,
GET,/domoweb/kpis/{id}/link,
GET,/domoweb/kpis/{id}/pages,
GET,/domoweb/kpis/{id}/userStatistics,
GET,/domoweb/kpis/all/alerts,
GET,/domoweb/kpis/dataconnection/{id},
GET,/domoweb/kpis/details/{id},
GET,/domoweb/kpis/getcustomkpihtml/domo/badge_horiz_bar,
GET,/domoweb/kpis/getcustomkpihtml/domo/badge_table,
GET,/domoweb/kpis/getcustomkpihtml/domo/client_services_success_barriers,
GET,/domoweb/kpis/getcustomkpihtml/domo/services_customer_health,
GET,/domoweb/kpis/getkpidetailshtml,
