Method,path,Ignore,parent directory,feature name
GET,/domoweb/access/getallkpisforuserbypage,,access,get_all_kpis_for_user_by_page
GET,/domoweb/access/kpilist,,access,kpi_list
GET,/domoweb/admin/companysettings/pwd,,admin,pwd
GET,/domoweb/chartoption/badge_funnel,,chartOption/badge,funnel
GET,/domoweb/chartoption/badge_horiz_100pct,,chartOption/badge,horiz_100pct
GET,/domoweb/chartoption/badge_horiz_bar,,chartOption/badge,horiz_bar
GET,/domoweb/chartoption/badge_horiz_stackedbar,,chartOption/badge,horiz_stackedbar
GET,/domoweb/chartoption/badge_line_bar,,chartOption/badge,line_bar
GET,/domoweb/chartoption/badge_line_stackedbar,,chartOption/badge,line_stacked_bar
GET,/domoweb/chartoption/badge_pie,,chartOption/badge,pie
GET,/domoweb/chartoption/badge_stackedtrend,,chartOption/badge,stacked_trend
GET,/domoweb/chartoption/badge_table,,chartOption/badge,table
GET,/domoweb/chartoption/badge_trendline,,chartOption/badge,trendline
GET,/domoweb/chartoption/badge_vert_100pct,,chartOption/badge,vert_100pct
GET,/domoweb/chartoption/badge_vert_bar,,chartOption/badge,vert_bar
GET,/domoweb/chartoption/badge_vert_multibar,,chartOption/badge,vert_multi_bar
GET,/domoweb/chartoption/badge_vert_nestedbar,,chartOption/badge,vert_nested_bar
GET,/domoweb/chartoption/badge_vert_stackedbar,,chartOption/badge,vert_stacked_bar
GET,/domoweb/chartoption/badge_world_map,,chartOption/badge,world_map
GET,/domoweb/chartoption/badge_xyscatterplot,,chartOption/badge,xy_scatterplot
DELETE,/domoweb/contentdatasource,Unknown Endpoint,,
GET,/domoweb/Dashboard/loadKpiDataSources,,Dashboard,loadKpiDataSources
GET,/domoweb/Dashboard/loadKpiDataSubscriptionList,,Dashboard,loadDataSubscriptionList
GET,/domoweb/dashboard/loadkpidatasubscriptionlist,,Dashboard,loadKPIDataSubscriptionList
GET,/domoweb/Dashboard/loadKpis,,Dashboard,loadKPIs
GET,/domoweb/Dashboard/loadPagesWithList,,Dashboard,loadPagesWithList
GET,/domoweb/dataaccess/getdatasources,,dataAccess,datasources
GET,/domoweb/dataaccess/getdatasourcetypes,,dataAccess,datasourceTypes
GET,/domoweb/dataaccess/pushdatasourcechangestoice,,dataAccess,pushDataSourceChangesToICE
POST,/domoweb/dataaccess/updatevisualization,,dataAccess,visualization
POST,/domoweb/dataconnection/excel,,dataConnection,excel
GET,/domoweb/dataconnection/googledocs/spreadsheets,,dataConnection,googledocsSpreadsheets
POST,/domoweb/dataconnection/webform,,dataConnection,webform
GET,/domoweb/drill/getcalculations,,drill,calculations
POST,/domoweb/drill/getDrillKpiHtml,,drill,drillKPIHtml
POST,/domoweb/drill/getkpihtmlforanalyzer,,drill,KPIHtmlForAnalyzer
POST,/domoweb/drill/getlastdrilltable,,drill,lastDrillTable
GET,/domoweb/drill/getpreviousfilters,,drill,previousFilters
POST,/domoweb/excel/update,,excel,excel
GET,/domoweb/googledocs/linkedtogoogle,,googleDocs,linkedToGoogle
POST,/domoweb/groups/create,,groups,group
GET,/domoweb/groups/getgroupsforuser,,groups,groupsForUser
GET,/domoweb/groups/index,,groups,index
GET,/domoweb/kpialerts/getalertsbykpiid,,kpiAlerts,alertsByKPIId
GET,/domoweb/kpis/all/alerts,,kpis,allAlerts
POST,/domoweb/kpivisualization/createpreviewvisualization,,kpiVisualization,createPreviewVisualization
DELETE,/domoweb/kpivisualization/deletepreviewvisualization,,kpiVisualization,deletePreviewVisualization
POST,/domoweb/kpivisualization/updatepreviewvisualization,,kpiVisualization,updatePreviewVisualization
GET,/domoweb/lf2/discussions,,lf2,discussions
GET,/domoweb/livefeed/newestevents,,liveFeed,newsEvents
GET,/domoweb/livefeed/newestkpievents,,liveFeed,newestKPIEvents
GET,/domoweb/livefeed/usergroups,,liveFeed,userGroups
GET,/domoweb/notifications/index,,notifications,index
POST,/domoweb/pusher/auth,,pusher,auth
POST,/domoweb/share,,share,share
GET,/domoweb/share/sharepagesandkpis,,share,sharePagesAndKPIs
GET,/domoweb/UserProfile/getKPIStats,,userprofile,KPIStats
GET,/domoweb/userprofile/getUserProfileAndPreferences,,userprofile,userProfileAndPreferences
GET,/domoweb/users/loadall,,users,loadAll
GET,/domoweb/users/roles,,users,roles
